Line,bus1,bus2
Line.LN6290243-1,bus1=M1026485.2,bus2=M1026492.2
Line.X8223_48332_sw,bus1=D6413567-3_INT,bus2=E182724
Line.LN6413567-3,bus1=N1139541,bus2=D6413567-3_INT
Line.LN5591731-3,bus1=M4122658,bus2=L2933135
Line.LN5653470-1,bus1=M1026702,bus2=L2729414
Line.LN6017316-1,bus1=L2729430.2,bus2=L2766742.2
Line.LN5926299-1,bus1=M1026972.2,bus2=L2860483.2
Line.LN5683831-1,bus1=L2860490,bus2=L3104134
Line.LN6352700-1,bus1=M1089144.1,bus2=P827522.1
Line.LN6047570-1,bus1=M1089118.1,bus2=L3048208.1
Line.LN5624342-1,bus1=M1108505,bus2=L2955047
Line.LN6259992-1,bus1=M1089148.1,bus2=L2766721.1
Line.LN5841919-1,bus1=M1026745.2,bus2=L3029183.2
Line.LN6380811-1,bus1=L2710512.2,bus2=M1047828.2
Line.LN5683832-1,bus1=M1047342.1,bus2=L3197645.1
Line.LN6077778-1,bus1=M1069192.1,bus2=L3235253.1
Line.LN5561442-2,bus1=L3214071,bus2=M1125952
Line.LN6259983-1,bus1=M1027101.2,bus2=L2860480.2
Line.LN5865244-1,bus1=L2710517.1,bus2=M1026646.1
Line.LN6350555-1,bus1=M1069662.2,bus2=L2935547.2
Line.LN5714039-1,bus1=M1026931.1,bus2=L3216336.1
Line.LN5889821-1,bus1=L3142049,bus2=M1108493
Line.LN5804791-1,bus1=M1069169,bus2=L3010556
Line.LN5653486-1,bus1=L2991933.3,bus2=L3122837.3
Line.LN5926286-1,bus1=L3216336.1,bus2=L2691936.1
Line.LN6318859-1,bus1=L2897772.1,bus2=L3101814.1
Line.LN5926316-1,bus1=L2766732.2,bus2=M1026485.2
Line.LN5591703-1,bus1=L2804269.2,bus2=L2989564.2
Line.LN5531333-1,bus1=M1126016.1,bus2=L3120534.1
Line.LN6047581-1,bus1=M1026330.2,bus2=L2766726.2
Line.LN6349077-1,bus1=P901912.2,bus2=L3195365.2
Line.LN6350574-1,bus1=M1108381,bus2=L3254237
Line.LN6320343-1,bus1=L2804262.1,bus2=L2841639.1
Line.LN81048100-5,bus1=N1230123.2,bus2=L2708744.2
Line.LN6348946-1,bus1=M1069519.2,bus2=P901927.2
Line.LN5744351-1,bus1=L2897790.3,bus2=L2935566.3
Line.LN5472342-1,bus1=M1026931.1,bus2=L3216337.1
Line.LN5621849-1,bus1=P901931.3,bus2=M1069548.3
Line.LN6379375-1,bus1=M1010013.1,bus2=L3120503.1
Line.LN6028890-1,bus1=M1089145,bus2=L3215385
Line.LN6380822-1,bus1=M1026854,bus2=M1026852
Line.LN5835131-1,bus1=L2935549,bus2=M1069420
Line.LN5803262-7,bus1=L3157708.3,bus2=N1137991.3
Line.LN81048089-1,bus1=M1108413.1,bus2=M1108460.1
Line.LN6201699-1,bus1=P827532.1,bus2=M1047326.1
Line.LN5746548-1,bus1=E182732,bus2=M1026760
Line.LN5835174-1,bus1=L3048205.3,bus2=M1108361.3
Line.LN6505947-4,bus1=M3036169.1,bus2=L2673317.1
Line.LN5683833-1,bus1=L3178981.2,bus2=M1047368.2
Line.LN5561439-3,bus1=M1069519,bus2=N1136354
Line.LN6109190-1,bus1=L2879794.1,bus2=M1142811.1
Line.LN6258435-2,bus1=M1047702.1,bus2=N1137002.1
Line.LN5804819-1,bus1=M1069565.2,bus2=L2785536.2
Line.LN5593215-1,bus1=L3104114.2,bus2=M1009824.2
Line.LN5833717-1,bus1=L2745848,bus2=L2673308
Line.LN6199557-1,bus1=L2673308,bus2=L2991939
Line.LN5744332-1,bus1=L2916606.3,bus2=L2822864.3
Line.LN5558790-1,bus1=M1142851,bus2=196-31070
Line.LN6078692-1,bus1=M1209822.3,bus2=M1209823.3
Line.LN5956482-1,bus1=M1069550.2,bus2=M1069551.2
Line.LN5593225-1,bus1=L2860483.2,bus2=L3141397.2
Line.LN6900591-26,bus1=L3649299.1,bus2=M3772794.1
Line.LN5952393-1,bus1=P895106.2,bus2=L3048887.2
Line.LN6350531-1,bus1=M1047824.2,bus2=M1047834.2
Line.LN5965099-10,bus1=M1069350,bus2=N1144668
Line.LN6047568-1,bus1=L2879072.2,bus2=M1047441.2
Line.LN5926292-1,bus1=M1108274.2,bus2=M1108269.2
Line.LN6380806-1,bus1=L3235244.1,bus2=M1069398.1
Line.LN6341781-3,bus1=N1147862.1,bus2=L2685805.1
Line.LN8979367-1,bus1=M1069247.1,bus2=M1069248.1
Line.LN6018340-1,bus1=L2786273.2,bus2=M1108278.2
Line.LN6380847-1,bus1=L3254238,bus2=M1047303
Line.LN8961797-1,bus1=M1047633.3,bus2=L2897554.3
Line.LN6077797-1,bus1=M1069627.2,bus2=L2897791.2
Line.LN6077773-1,bus1=M1089097.2,bus2=M1108270.2
Line.LN5837496-4,bus1=N1142101.1,bus2=L2936214.1
Line.LN5623392-1,bus1=L3066810.3,bus2=L2897769.3
Line.LN5624380-1,bus1=M1209758.2,bus2=M1209753.2
Line.LN6422809-2,bus1=M1047528,bus2=L2858166
Line.LN5799561-1,bus1=M1142843,bus2=L3081380
Line.LN6229818-1,bus1=L2804272.2,bus2=L2841641.2
Line.LN5593230-1,bus1=M1069393.2,bus2=M1069408.2
Line.LN5563901-3,bus1=N1142104,bus2=M1108500
Line.LN6320339-1,bus1=L3216348.1,bus2=L2841627.1
Line.LN5986927-1,bus1=M1026925.1,bus2=L2916599.1
Line.LN6047567-1,bus1=M1047447.2,bus2=L2954349.2
Line.LN5714047-1,bus1=L3235246.2,bus2=L2710512.2
Line.LN5563934-1,bus1=M1125911.2,bus2=L2711224.2
Line.LN6169249-3,bus1=N1147863.3,bus2=L3122817.3
Line.LN6230800-1,bus1=M1186061.2,bus2=L2861223.2
Line.LN5985339-2,bus1=M1069130.1,bus2=L3085396.1
Line.LN5898059-3,bus1=E182730.1,bus2=N1142109.1
Line.LN5956457-2,bus1=M1069417,bus2=N1138597
Line.LN5865229-1,bus1=M1026987.2,bus2=M1026990.2
Line.LN6018331-1,bus1=M1142832,bus2=L3160865
Line.LN6199535-1,bus1=L2673323.3,bus2=M1009809.3
Line.LN5502538-1,bus1=L2822869,bus2=M1026808
Line.LN5742816-2,bus1=M1047825.2,bus2=M1069731.2
Line.LN6229803-3,bus1=N1140520.3,bus2=L2729410.3
Line.LN5986930-1,bus1=M1026646.1,bus2=L3178978.1
Line.LN6350532-1,bus1=M1069384.1,bus2=L3066805.1
Line.LN5588016-3,bus1=L2710546.2,bus2=M4362181.2
Line.LN5623409-1,bus1=M1047319.3,bus2=M1047318.3
Line.LN6350560-1,bus1=L3216358.1,bus2=M1026826.1
Line.LN5472347-1,bus1=M1108274.2,bus2=M1108276.2
Line.LN6290199-1,bus1=M1089198,bus2=M1089201
Line.LN6409775-3,bus1=M1047763.1,bus2=N1136027.1
Line.LN5591811-1,bus1=L3101827.3,bus2=M1108540.3
Line.LN6229808-1,bus1=M1026335.1,bus2=L2804259.1
Line.LN5651985-3,bus1=N1136357.3,bus2=L2897790.3
Line.LN6047577-1,bus1=M1047513,bus2=M1047507
Line.LN5528574-2,bus1=M1142863.3,bus2=N1141480.3
Line.LN5896827-1,bus1=M1125916.2,bus2=L2879767.2
Line.LN5774451-1,bus1=L3066809.3,bus2=M1069487.3
Line.LN5504876-1,bus1=M1142818,bus2=P829965
Line.LN5860423-4,bus1=Q14733,bus2=M1047568
Line.LN6138613-1,bus1=M1047326.1,bus2=M1047322.1
Line.LN6077771-1,bus1=M1009824.2,bus2=L2954338.2
Line.LN6138636-1,bus1=M1047409.1,bus2=L2841648.1
Line.LN6199512-1,bus1=M1089177.3,bus2=L2729406.3
Line.LN6047564-1,bus1=M1026951.2,bus2=L2954347.2
Line.LN6258460-3,bus1=M4122657.3,bus2=L3027124.3
Line.LN5683810-1,bus1=M1069419,bus2=M1069418
Line.LN5852082-1,bus1=M1026824.3,bus2=P859694.3
Line.LN6380816-1,bus1=M1047453.2,bus2=L2691948.2
Line.LN6108138-2,bus1=P860892.3,bus2=N1139543.3
Line.LN6167732-2,bus1=M1089205.1,bus2=N1134472.1
Line.LN6229831-1,bus1=L2710542.2,bus2=L2729430.2
Line.LN6504020-2,bus1=M3032980,bus2=M3032977
Line.LN81354561-2,bus1=M3763618.3,bus2=P1121282.3
Line.LN5654476-1,bus1=L2917330.1,bus2=L2861222.1
Line.LN6987572-4,bus1=M1047490.1,bus2=P1164481.1
Line.LN6260025-1,bus1=M1069356.3,bus2=M1069363.3
Line.LN5926291-1,bus1=M1069418,bus2=M1069417
Line.LN8961800-1,bus1=P828359.3,bus2=L2878848.3
Line.LN6437757-1,bus1=M1047486.1,bus2=L3177665.1
Line.LN5594245-1,bus1=M1108278.2,bus2=L2805036.2
Line.LN5957492-1,bus1=L2692654.1,bus2=M1125929.1
Line.LN5956464-1,bus1=M1047669,bus2=M1047672
Line.LN6171683-1,bus1=M1125919.1,bus2=P829961.1
Line.LN5625715-1,bus1=M1142819.2,bus2=P829960.2
Line.LN5746706-2,bus1=P829979.2,bus2=M3036172.2
Line.LN5653491-1,bus1=M1026883.3,bus2=M1026898.3
Line.LN5472361-1,bus1=M1089143.1,bus2=L3141400.1
Line.LN5683856-2,bus1=M1069469.1,bus2=N1139263.1
Line.LN5565091-1,bus1=M1069481.3,bus2=P827507.3
Line.LN5653466-1,bus1=M1026377.1,bus2=L3048210.1
Line.LN5534966-2,bus1=E182722.1,bus2=N1138596.1
Line.LN6409762-1,bus1=M1026331.3,bus2=L3214055.3
Line.LN6109158-1,bus1=M1108295,bus2=L2936279
Line.LN5835145-1,bus1=M1026704.2,bus2=L2841634.2
Line.LN5774493-1,bus1=M1047386.2,bus2=M1047379.2
Line.LN5835143-1,bus1=M1089118,bus2=M1089115
Line.LN5926315-1,bus1=M1026486.2,bus2=M1026488.2
Line.LN5895786-1,bus1=M1026364.1,bus2=L3010570.1
Line.LN81048102-5,bus1=P904451.1,bus2=221-282819.1
Line.LN5861084-1,bus1=M1125968.3,bus2=P895107.3
Line.LN5774455-2,bus1=M1047672.1,bus2=N1136999.1
Line.LN6108132-1,bus1=M1069412.2,bus2=L2879061.2
Line.LN6077775-1,bus1=M1026947.2,bus2=M1026946.2
Line.LN5591718-1,bus1=M1142880.3,bus2=L2891575.3
Line.LN5653461-1,bus1=M1026848.1,bus2=M1026847.1
Line.LN6290229-1,bus1=L2897793.1,bus2=M1069521.1
Line.LN5774463-1,bus1=M1069175.3,bus2=L3197637.3
Line.LN6380814-1,bus1=M1047441.2,bus2=L3197635.2
Line.LN5895776-1,bus1=L2804257.2,bus2=L2860485.2
Line.LN6200439-1,bus1=L3235945.3,bus2=L2842330.3
Line.LN6138601-1,bus1=L2804254.1,bus2=M1047752.1
Line.LN5927421-1,bus1=M1166370.3,bus2=M1166364.3
Line.LN5532748-5,bus1=M1047592,bus2=M3763619
Line.LN6506318-4,bus1=M3037540.3,bus2=L2710509.3
Line.LN6288856-3,bus1=L2763072.2,bus2=M4118754.2
Line.LN5653452-1,bus1=M1089196,bus2=M1089198
Line.LN6290205-1,bus1=M1047484,bus2=L3010560
Line.LN6350547-1,bus1=L3254219.3,bus2=L3254220.3
Line.LN6229800-1,bus1=M1026648.1,bus2=M1026647.1
Line.LN6138609-1,bus1=M1089112.3,bus2=L2691951.3
Line.WD701_48332_sw,bus1=228-1048090-1_INT.2,bus2=193-51796.2
Line.LN81048090-1,bus1=M1108433.2,bus2=228-1048090-1_INT.2
Line.LN5683828-1,bus1=M1026327.2,bus2=L2841636.2
Line.LN8979256-1,bus1=M1089183,bus2=L2990826
Line.LN6506317-2,bus1=L2911069.2,bus2=L2948732.2
Line.LN6078744-1,bus1=M1108260.2,bus2=M1108259.2
Line.LN81018875-1,bus1=M1069312.3,bus2=P873800.3
Line.LN6078691-1,bus1=P901951.3,bus2=M1186078.3
Line.LN6258439-1,bus1=L2876797,bus2=R18241
Line.LN6108164-1,bus1=L3254227.2,bus2=M1069550.2
Line.LN5927379-2,bus1=M3037455.3,bus2=L3217052.3
Line.LN6110365-1,bus1=P827500.1,bus2=L2822861.1
Line.LN5773040-1,bus1=M1047724,bus2=M1047722
Line.V7173_48332_sw,bus1=D5534969-2_INT,bus2=E182729
Line.LN5534969-2,bus1=N1134477,bus2=D5534969-2_INT
Line.LN6015891-1,bus1=M1166355.1,bus2=L2858200.1
Line.LN5683816-1,bus1=M1047699,bus2=L2935554
Line.LN6199561-1,bus1=M1047292.3,bus2=L2766750.3
Line.LN6900591-12,bus1=L3649300.1,bus2=L3649301.1
Line.LN6411363-1,bus1=M1047733.1,bus2=L3066804.1
Line.LN6108130-6,bus1=M3327098.2,bus2=L2691943.2
Line.LN5837516-1,bus1=P829986.1,bus2=M1125904.1
Line.LN6017301-4,bus1=M3036169.1,bus2=N1139550.1
Line.LN5981121-1,bus1=M1026307.2,bus2=L3085388.2
Line.LN81048107-4,bus1=L3233413.2,bus2=M1108464.2
Line.LN5472374-1,bus1=L3122827.1,bus2=L2954355.1
Line.LN5746550-2,bus1=P827576.2,bus2=N1139256.2
Line.LN5561437-1,bus1=L2952003,bus2=M1108381
Line.LN6439986-3,bus1=N1136359.3,bus2=L3008237.3
Line.LN5744324-1,bus1=M1089102.3,bus2=M1089096.3
Line.LN6376708-1,bus1=P895102.2,bus2=M1125978.2
Line.LN5895816-2,bus1=M1026706,bus2=N1140825
Line.LN5593235-1,bus1=L3141399.3,bus2=M1069210.3
Line.LN81354563-2,bus1=M3763624.3,bus2=P1121283.3
Line.LN5866260-1,bus1=M1142839.3,bus2=L3067507.3
Line.LN6018243-1,bus1=M1108540.3,bus2=L3235945.3
Line.LN5928743-3,bus1=N1141478.2,bus2=M1142826.2
Line.LN5957501-1,bus1=M1108334.3,bus2=L2692664.3
Line.LN6379357-1,bus1=L2823544.1,bus2=M1126016.1
Line.LN6291252-2,bus1=226-23751,bus2=L2955081
Line.LN6440002-3,bus1=P827536.1,bus2=N1137999.1
Line.LN6076346-1,bus1=L3027157,bus2=L2973155
Line.LN8978752-1,bus1=M1186052,bus2=198-5320
Line.LN5621834-1,bus1=L3216346.1,bus2=L2858163.1
Line.LN6108123-1,bus1=M1047813.2,bus2=L2973149.2
Line.LN6505952-4,bus1=M3036172.2,bus2=L3086079.2
Line.LN5835159-1,bus1=M1069574.2,bus2=L2710530.2
Line.LN5698090-2,bus1=M1069285.1.3,bus2=M4113348.1.3
Line.LN5714050-1,bus1=L2879074.1,bus2=L3122820.1
Line.LN5502529-1,bus1=M1026915.2,bus2=M1026916.2
Line.LN5594236-1,bus1=E193509,bus2=M1142839
Line.LN5593248-1,bus1=M1047794.2,bus2=M1047796.2
Line.LN5865272-1,bus1=M1047303,bus2=L3027116
Line.LN5924696-3,bus1=N1137001.1,bus2=L2929261.1
Line.LN5589096-1,bus1=M1166375.1,bus2=P895080.1
Line.LN6017295-1,bus1=L2973156.2,bus2=M1069393.2
Line.LN5970852-1,bus1=M1069311.3,bus2=M1069312.3
Line.LN5683820-1,bus1=M1069208.3,bus2=L2691945.3
Line.LN6286966-3,bus1=M1026700.2,bus2=N1140820.2
Line.LN6167715-1,bus1=M1026468.2,bus2=P901909.2
Line.LN6108140-2,bus1=M1026662.1,bus2=N1141473.1
Line.LN6228279-1,bus1=M1026941.1,bus2=M1026942.1
Line.LN5803264-2,bus1=M1047722.1,bus2=N1137985.1
Line.LN6132680-1,bus1=M1047713,bus2=M1047720
Line.LN5531195-1,bus1=M1108298,bus2=196-36167
Line.LN5985361-1,bus1=E183472,bus2=L2989566
Line.LN6102293-1,bus1=M1010007.1,bus2=M1010004.1
Line.LN8989758-1,bus1=M1108381,bus2=P862322
Line.LN6229790-1,bus1=M1089188.3,bus2=M1089189.3
Line.LN5956469-1,bus1=L2972704.3,bus2=L3263051.3
Line.LN5803270-3,bus1=N1139544.3,bus2=L2897776.3
Line.LN81048102-6,bus1=221-282819.1,bus2=N1230122.1
Line.LN6440070-1,bus1=L2748132.1,bus2=L2689726.1
Line.LN6048626-1,bus1=M1142868,bus2=M1142869
Line.LN6076248-1,bus1=M1108328.3,bus2=L2767414.3
Line.LN6137083-1,bus1=M1027027.3,bus2=L3270853.3
Line.LN6286261-1,bus1=M1125978.2,bus2=M1125982.2
Line.LN5653477-1,bus1=M1069572.2,bus2=L3066826.2
Line.LN6078810-1,bus1=M1166356.1,bus2=L2730187.1
Line.LN6199526-1,bus1=L3122825.1,bus2=L2991920.1
Line.LN6108125-2,bus1=N1134474,bus2=M1069496
Line.LN6108149-1,bus1=L3122826.1,bus2=M1047358.1
Line.LN6230759-1,bus1=L3142078.2,bus2=L2879752.2
Line.LN8979249-1,bus1=P850072,bus2=221-311609
Line.LN5865237-1,bus1=M1027023.2,bus2=L3122815.2
Line.LN5706733-2,bus1=L2724120.3,bus2=M1069149.3
Line.LN5745348-1,bus1=M1142819,bus2=M1142818
Line.LN5898059-2,bus1=N1142109.1,bus2=L2729429.1
Line.LN5744367-1,bus1=L3215549.2,bus2=L2897800.2
Line.LN5773136-1,bus1=L3027156.3,bus2=L2860481.3
Line.LN5472403-2,bus1=N1140828,bus2=M1026708
Line.LN5712496-1,bus1=M1126020.1,bus2=M1126023.1
Line.LN5772710-1,bus1=M1026906.1,bus2=L3120376.1
Line.LN6139544-1,bus1=M1209824.3,bus2=M1209828.3
Line.LN6015788-2,bus1=L3195315.1,bus2=M1069181.1
Line.LN5591702-1,bus1=M1069590.2,bus2=M1069595.2
Line.LN5986923-1,bus1=M1027004.2,bus2=L2897765.2
Line.LN6301772-2,bus1=M1047314.1,bus2=N1137961.1
Line.LN6001653-2,bus1=L2876814,bus2=M1026834
Line.LN6017283-1,bus1=M1008743.2,bus2=M1008742.2
Line.LN5686079-1,bus1=P827525,bus2=M1026902
Line.LN5527264-7,bus1=N1144663,bus2=M1089215
Line.LN5683813-1,bus1=M1069469.1,bus2=M1069467.1
Line.LN5986935-1,bus1=M1047324,bus2=L2897780
Line.LN5956457-3,bus1=N1138597,bus2=M1069411
Line.LN5654471-1,bus1=L2711226,bus2=M1142819
Line.LN6409800-1,bus1=M1009726.1,bus2=L3101789.1
Line.LN6411365-1,bus1=L2822861.1,bus2=L2841616.1
Line.LN6320328-1,bus1=M1089170.3,bus2=L2879062.3
Line.LN5712477-3,bus1=N1139545.3,bus2=M1069174.3
Line.LN5621857-3,bus1=N1140517.1,bus2=L3157718.1
Line.LN6440071-1,bus1=L2727008.2,bus2=M1069629.2
Line.LN5472355-1,bus1=L2691944.1,bus2=L2673312.1
Line.LN6351523-3,bus1=M1108315.3,bus2=N1230121.3
Line.LN6047595-2,bus1=M1069533,bus2=N1136356
Line.LN5800724-1,bus1=M1142865.1,bus2=P895112.1
Line.LN6422809-3,bus1=M1047526,bus2=N1136666
Line.LN5532744-1,bus1=M1069181.1,bus2=L2804253.1
Line.LN5594242-1,bus1=M1209790,bus2=M1209788
Line.LN8979343-3,bus1=M4113348.3,bus2=P850400.3
Line.LN5835137-1,bus1=L3029500.1,bus2=M1026764.1
Line.LN6170199-2,bus1=M3037449.3,bus2=M1108375.3
Line.LN5683821-1,bus1=M1069217.3,bus2=L2954350.3
Line.LN81048110-2,bus1=L2802481.1,bus2=L3214549.1
Line.LN6506306-2,bus1=L2851933,bus2=L3207907
Line.LN5593219-1,bus1=M1089189.3,bus2=L2841619.3
Line.LN81048087-1,bus1=M1108380.2,bus2=P904452.2
Line.LN6268990-4,bus1=N1136995.3,bus2=M1047613.3
Line.LN8968082-2,bus1=221-306687.2,bus2=L2916625.2
Line.LN5744344-1,bus1=M1009724.1,bus2=M1009720.1
Line.LN5593220-2,bus1=M3037540.3,bus2=L2822862.3
Line.V9287_48332_sw,bus1=D6019477-1_INT.3,bus2=E182727.3
Line.LN6019477-1,bus1=M1027043.3,bus2=D6019477-1_INT.3
Line.LN5593227-1,bus1=M1026948.2,bus2=M1026949.2
Line.LN6409869-1,bus1=M1089131.1,bus2=L3270854.1
Line.LN6321419-2,bus1=M3036172.2,bus2=M1209763.2
Line.LN6348954-1,bus1=L3176661.3,bus2=L2970804.3
Line.LN6201695-2,bus1=P827504.1,bus2=N1137957.1
Line.LN6048635-1,bus1=M1209763.2,bus2=L2936275.2
Line.LN6199519-1,bus1=M1047447.2,bus2=L2766722.2
Line.LN6505938-4,bus1=L3142079.2,bus2=M3036162.2
Line.LN5472375-1,bus1=M1026724,bus2=R18243
Line.LN5835124-1,bus1=M1069731.2,bus2=L2710504.2
Line.LN6103927-1,bus1=M1142860.1,bus2=P895114.1
Line.LN6138622-1,bus1=L3197652.1,bus2=L2748143.1
Line.LN5776673-1,bus1=P827575.3,bus2=M1069437.3
Line.LN6074369-1,bus1=M1069620.2,bus2=M1069610.2
Line.LN5621826-1,bus1=M1026942.1,bus2=L3270814.1
