Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"M1047707", 12.47, 1,    7374.08,  -31.2,    1.0242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2729406", 12.47, 3,    7508.75,   92.1,    1.0429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2897768", 12.47, 3,    7508.35,   92.1,    1.0429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3649301", 12.47, 1,    7356.29,  -31.5,    1.0218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3649302", 12.47, 1,    7355.82,  -31.5,    1.0217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2970842", 12.47, 2,    7508.26, -149.0,    1.0429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1089113", 12.47, 2,    7507.42, -149.0,    1.0428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047312", 12.47, 1,    7420.31,  -30.5,    1.0307, 2,    7396.37, -150.1,    1.0273, 3,    7530.75,   90.6,     1.046, 0, 0, 0, 0
"P893163", 12.47, 1,    7420.28,  -30.5,    1.0307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2822871", 12.47, 1,    7312.74,  -31.6,    1.0157, 2,    7386.46, -149.6,     1.026, 3,    7401.16,   95.7,     1.028, 4, 2.24762E-020,  107.1, 3.1219E-024
"M1026872", 12.47, 1,    7310.47,  -31.6,    1.0154, 2,    7385.05, -149.6,    1.0258, 3,    7401.01,   95.7,     1.028, 0, 0, 0, 0
"M1026312", 12.47, 2,    7315.16, -150.3,    1.0161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2973163", 12.47, 2,    7313.71, -150.3,    1.0159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3728038", 12.47, 1,    7342.44,  -31.3,    1.0198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3728039", 12.47, 1,    7342.06,  -31.3,    1.0198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069567", 12.47, 2,     7523.9, -148.5,    1.0451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069582", 12.47, 2,    7519.17, -148.6,    1.0444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1140830", 12.47, 1,    7260.03,  -31.4,    1.0084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3216351", 12.47, 1,    7259.97,  -31.4,    1.0084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2952007", 12.47, 3,    7502.73,   91.2,    1.0421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2861158", 12.47, 3,    7502.63,   91.2,    1.0421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1140827", 12.47, 1,    7263.99,  -31.4,    1.0089, 2,    7403.61, -149.2,    1.0283, 3,    7351.09,   95.8,     1.021, 0, 0, 0, 0
"M1026726", 12.47, 1,    7263.97,  -31.4,    1.0089, 2,    7403.57, -149.2,    1.0283, 3,    7351.08,   95.8,     1.021, 0, 0, 0, 0
"L2730106", 12.47, 1,    7295.26,  -28.1,    1.0133, 2,    7704.66, -146.9,    1.0702, 3,    7589.93,   95.3,    1.0542, 4, 1.81469E-020,  100.5, 2.5206E-024
"N1142099", 12.47, 1,    7293.72,  -28.1,    1.0131, 2,    7705.36, -146.9,    1.0703, 3,    7590.02,   95.4,    1.0542, 0, 0, 0, 0
"M1026658", 12.47, 1,    7258.59,  -31.4,    1.0082, 2,    7404.97, -149.2,    1.0285, 3,    7344.42,   95.8,    1.0201, 0, 0, 0, 0
"L3172805", 12.47, 1,    7258.45,  -31.4,    1.0082, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P895112", 12.47, 1,    7462.35,  -28.7,    1.0365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3048962", 12.47, 1,    7462.33,  -28.7,    1.0365, 2,    3739.46,  156.4,    0.5194, 3,    3739.46,  156.4,    0.5194, 4, 1.64885E-020,  156.4, 2.2902E-024
"L2991914", 12.47, 1,    7365.81,  -31.2,    1.0231, 2,    7395.91, -149.2,    1.0273, 3,     7388.6,   95.7,    1.0263, 0, 0, 0, 0
"M1047503", 12.47, 1,    7363.34,  -31.2,    1.0227, 2,     7396.1, -149.2,    1.0273, 3,    7387.51,   95.7,    1.0261, 0, 0, 0, 0
"M1047751", 12.47, 1,    7336.04,  -31.1,     1.019, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2973154", 12.47, 1,    7336.02,  -31.1,     1.019, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3010565", 12.47, 3,    7504.61,   91.2,    1.0424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2897775", 12.47, 3,    7504.54,   91.2,    1.0424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1125955", 12.47, 3,    7586.79,   94.0,    1.0538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1125957", 12.47, 3,    7586.78,   94.0,    1.0538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069640", 12.47, 2,    7507.49, -148.6,    1.0428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2804269", 12.47, 2,    7507.18, -148.6,    1.0427, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026702", 12.47, 1,    7280.71,  -31.4,    1.0113, 2,    7402.98, -149.2,    1.0283, 3,     7358.5,   95.8,    1.0221, 0, 0, 0, 0
"N1139551", 12.47, 1,    7272.53,  -31.4,    1.0101, 2,    7403.75, -149.2,    1.0284, 3,    7355.93,   95.8,    1.0217, 0, 0, 0, 0
"N1136355", 12.47, 2,    7543.62, -148.5,    1.0478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2783231", 12.47, 2,    7540.02, -148.5,    1.0473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2748143", 12.47, 1,    7295.23,  -29.9,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3251854", 12.47, 1,     7295.1,  -29.9,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069610", 12.47, 2,    7511.56, -148.6,    1.0433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069600", 12.47, 2,    7511.46, -148.6,    1.0433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069424", 12.47, 1,    7331.57,  -31.2,    1.0183, 2,    7329.37, -149.6,     1.018, 3,    7373.18,   95.5,    1.0241, 0, 0, 0, 0
"L2935549", 12.47, 1,    7330.57,  -31.2,    1.0182, 2,    7327.17, -149.6,    1.0177, 3,    7373.18,   95.5,    1.0241, 0, 0, 0, 0
"P895089", 12.47, 3,    7514.46,   95.6,    1.0437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3235242", 12.47, 3,    7514.35,   95.6,    1.0437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026795", 12.47, 1,    7339.22,  -31.3,    1.0194, 2,    7398.23, -149.2,    1.0276, 3,    7377.13,   95.7,    1.0247, 0, 0, 0, 0
"N1140522", 12.47, 3,    7377.08,   95.7,    1.0247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3030199", 12.47, 1,    7514.78,  -28.8,    1.0438, 2,    7618.98, -148.0,    1.0583, 3,    7593.94,   92.5,    1.0548, 0, 0, 0, 0
"M1125934", 12.47, 1,    7515.61,  -28.8,    1.0439, 2,    7618.59, -148.0,    1.0582, 3,       7594,   92.5,    1.0548, 4,  0.0244118,  113.9, 3.3907E-006
"M1069189", 12.47, 1,    7494.42,  -29.9,     1.041, 2,     7487.4, -149.2,      1.04, 3,    7515.62,   91.1,    1.0439, 0, 0, 0, 0
"L2860487", 12.47, 3,    7515.56,   91.1,    1.0439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"221-312488", 12.47, 1,    7320.65,  -28.3,    1.0168, 2,    7676.67, -147.2,    1.0663, 3,     7580.6,   94.8,    1.0529, 0, 0, 0, 0
"M1089183", 12.47, 1,    7320.65,  -28.3,    1.0168, 2,    7676.66, -147.2,    1.0663, 3,     7580.6,   94.8,    1.0529, 0, 0, 0, 0
"M1108464", 12.47, 2,    7675.21, -147.2,    1.0661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3102286", 12.47, 2,    7674.96, -147.2,     1.066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"F739845", 12.47, 1,    7411.68,  -30.5,    1.0295, 2,    7382.63, -150.1,    1.0254, 3,    7529.72,   90.6,    1.0459, 0, 0, 0, 0
"293471", 12.47, 1,    7411.66,  -30.5,    1.0295, 2,     7382.6, -150.1,    1.0254, 3,     7529.7,   90.6,    1.0459, 0, 0, 0, 0
"P827499", 12.47, 1,    7329.48,  -31.2,     1.018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1139254", 12.47, 1,    7329.48,  -31.2,     1.018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026657", 12.47, 1,    7254.96,  -31.4,    1.0077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026656", 12.47, 1,    7254.77,  -31.4,    1.0077, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108299", 12.47, 2,    7610.73, -148.1,    1.0571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108300", 12.47, 2,    7610.72, -148.1,    1.0571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3198355", 12.47, 2,    7610.49, -148.1,    1.0571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2805037", 12.47, 2,    7610.49, -148.1,    1.0571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1137994", 12.47, 3,    7375.73,   95.5,    1.0245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069484", 12.47, 3,    7375.07,   95.5,    1.0244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2860504", 12.47, 1,    7260.95,  -31.4,    1.0085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2860493", 12.47, 1,    7260.57,  -31.4,    1.0085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026783", 12.47, 1,    7331.74,  -31.3,    1.0184, 2,    7398.86, -149.2,    1.0277, 3,    7374.76,   95.7,    1.0243, 0, 0, 0, 0
"M1026780", 12.47, 1,    7330.52,  -31.3,    1.0182, 2,    7398.96, -149.2,    1.0277, 3,    7374.37,   95.7,    1.0243, 0, 0, 0, 0
"P895111", 12.47, 3,     7588.4,   93.4,     1.054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2895496", 12.47, 3,     7588.2,   93.4,     1.054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1140819", 12.47, 1,    7266.76,  -31.4,    1.0093, 2,    7403.66, -149.2,    1.0283, 3,    7352.94,   95.8,    1.0213, 0, 0, 0, 0
"M1026700", 12.47, 1,    7265.94,  -31.4,    1.0092, 2,    7403.62, -149.2,    1.0283, 3,    7352.46,   95.8,    1.0212, 0, 0, 0, 0
"M1089173", 12.47, 3,    7510.13,   92.1,    1.0431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2935551", 12.47, 3,    7509.68,   92.1,    1.0431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026344", 12.47, 1,     7389.5,  -30.5,    1.0264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026364", 12.47, 1,    7389.34,  -30.5,    1.0264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2879070", 12.47, 1,    7373.93,  -31.4,    1.0242, 2,    7402.39, -149.4,    1.0282, 3,    7406.72,   95.7,    1.0288, 0, 0, 0, 0
"L3216345", 12.47, 1,    7367.11,  -31.4,    1.0233, 2,    7401.76, -149.4,    1.0281, 3,    7406.02,   95.7,    1.0287, 0, 0, 0, 0
"M1069428", 12.47, 1,    7332.53,  -31.2,    1.0185, 2,    7331.22, -149.5,    1.0183, 3,    7373.19,   95.5,    1.0241, 0, 0, 0, 0
"N1139257", 12.47, 2,     7331.2, -149.5,    1.0183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2991919", 12.47, 1,    7387.66,  -30.5,    1.0261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026361", 12.47, 1,    7386.51,  -30.5,     1.026, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1147857", 12.47, 1,    7253.15,  -31.7,    1.0074, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1009742", 12.47, 1,       7252,  -31.7,    1.0073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"Q14412", 12.47, 1,    7431.99,  -30.5,    1.0323, 2,    7410.24, -150.1,    1.0293, 3,    7532.26,   90.6,    1.0462, 0, 0, 0, 0
"M1047325", 12.47, 1,    7430.74,  -30.5,    1.0321, 2,    7408.87, -150.1,    1.0291, 3,    7532.11,   90.6,    1.0462, 0, 0, 0, 0
"N1139263", 12.47, 1,    7339.39,  -31.3,    1.0194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3048227", 12.47, 1,    7339.36,  -31.3,    1.0194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P827506", 12.47, 1,    7339.42,  -31.3,    1.0194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069469", 12.47, 1,     7339.4,  -31.3,    1.0194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1027019", 12.47, 2,    7358.47, -149.8,    1.0221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2785522", 12.47, 2,    7358.43, -149.8,    1.0221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3216338", 12.47, 2,    7300.91, -149.9,    1.0141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2973146", 12.47, 2,    7300.87, -149.9,    1.0141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M3037452", 12.47, 1,    7383.03,  -30.5,    1.0255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2973164", 12.47, 1,    7382.96,  -30.5,    1.0255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3120376", 12.47, 1,     7325.7,  -31.6,    1.0175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026925", 12.47, 1,    7324.56,  -31.6,    1.0174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047612", 12.47, 3,    7410.29,   95.6,    1.0293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P828360", 12.47, 3,    7410.27,   95.6,    1.0293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1089195", 12.47, 3,    7514.18,   95.6,    1.0437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3141393", 12.47, 3,    7514.05,   95.6,    1.0437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026946", 12.47, 2,    7361.03, -149.8,    1.0224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026940", 12.47, 2,    7360.68, -149.8,    1.0224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047471", 12.47, 2,    7247.37, -149.8,    1.0066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3216349", 12.47, 2,    7247.35, -149.8,    1.0066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047401", 12.47, 1,    7218.41,  -31.5,    1.0026, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2748132", 12.47, 1,    7218.36,  -31.5,    1.0026, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3122820", 12.47, 1,    7239.11,  -31.5,    1.0055, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3141398", 12.47, 1,    7239.04,  -31.5,    1.0055, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108360", 12.47, 3,    7546.83,   92.2,    1.0482, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3048968", 12.47, 3,    7546.73,   92.2,    1.0482, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2801950", 12.47, 3,    7496.66,   91.1,    1.0413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069224", 12.47, 3,    7496.45,   91.1,    1.0412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2766746", 12.47, 3,    7373.08,   95.8,    1.0241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1027073", 12.47, 3,    7372.38,   95.8,     1.024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1142873", 12.47, 3,    7588.06,   93.4,     1.054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069181", 12.47, 1,     7481.1,  -30.0,    1.0391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2973151", 12.47, 1,    7480.79,  -30.0,    1.0391, 2,    3748.73,  155.1,   0.52069, 3,    3748.73,  155.1,   0.52069, 4, 1.64803E-020,  155.1, 2.2891E-024
"L3179682", 12.47, 3,    7590.81,   92.2,    1.0543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2786274", 12.47, 3,     7590.8,   92.2,    1.0543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3066816", 12.47, 1,     7259.4,  -31.4,    1.0083, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026667", 12.47, 1,    7259.31,  -31.4,    1.0083, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108529", 12.47, 1,     7461.4,  -28.4,    1.0364, 2,    7526.73, -147.1,    1.0454, 3,    7499.35,   95.6,    1.0416, 0, 0, 0, 0
"M1108532", 12.47, 1,    7459.32,  -28.5,    1.0361, 2,    7527.02, -147.2,    1.0455, 3,    7499.62,   95.6,    1.0417, 0, 0, 0, 0
"L2766723", 12.47, 1,    7260.39,  -31.4,    1.0084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3122822", 12.47, 1,    7260.31,  -31.4,    1.0084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2673312", 12.47, 1,    7235.65,  -31.7,     1.005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3235247", 12.47, 1,    7235.53,  -31.7,     1.005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1166391", 12.47, 3,    7509.88,   91.2,    1.0431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3254873", 12.47, 3,    7508.03,   91.2,    1.0428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2861157", 12.47, 3,    7527.95,   91.3,    1.0456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P901951", 12.47, 3,    7526.25,   91.3,    1.0454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047346", 12.47, 1,    7443.29,  -30.5,    1.0339, 2,    7421.57, -150.1,    1.0308, 3,    7533.58,   90.5,    1.0464, 0, 0, 0, 0
"M1047345", 12.47, 1,    7441.45,  -30.5,    1.0336, 2,    7419.93, -150.1,    1.0306, 3,    7533.38,   90.6,    1.0464, 0, 0, 0, 0
"L2989596", 12.47, 2,    7529.04, -148.5,    1.0458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2822873", 12.47, 2,    7528.99, -148.5,    1.0458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108328", 12.47, 3,    7578.48,   92.2,    1.0526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2875754", 12.47, 3,    7578.45,   92.2,    1.0526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2786204", 12.47, 3,    7559.15,   91.4,    1.0499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1209819", 12.47, 3,    7556.98,   91.4,    1.0496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"P901972", 12.47, 1,    7251.75,  -31.7,    1.0072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1009726", 12.47, 1,    7249.91,  -31.7,     1.007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047702", 12.47, 1,    7374.35,  -31.2,    1.0243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1137001", 12.47, 1,    7374.32,  -31.2,    1.0243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2767340", 12.47, 1,    7350.97,  -28.3,     1.021, 2,    7680.56, -147.3,    1.0668, 3,    7587.57,   94.6,    1.0539, 0, 0, 0, 0
"M3037449", 12.47, 1,    7350.97,  -28.3,     1.021, 2,    7680.56, -147.3,    1.0668, 3,    7587.56,   94.6,    1.0539, 0, 0, 0, 0
